Source,Text,Class
kubernetes,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?",NL_CODE
kubernetes,You can just put both hosts in,NL
kubernetes,In your kube config file try to base64 decode certificate-authoririty,NL
kubernetes,What's up guys. You know how when you do kubectl get pods you get something that looks like:,NL
kubernetes,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all,NL
kubernetes,ya. I am using preemtible vms on gc and need to monitor node level,NL
kubernetes,think I have to try it first,NL
kubernetes,I should add it in the manifest?,NL
kubernetes,how I can do that,NL
kubernetes,"the count, if at all",NL
kubernetes,Have you tried rook?,NL
kubernetes,not hard,NL
kubernetes,"kdockery, https://bpaste.net/show/5ee3626fbba7 here's what I have! The Endpoint still points to 10.254.0.1, which is the svc/kubernetes (I pasted the description of that one as well)",NL_CODE
kubernetes,Interesting.,NL
kubernetes,My config file has been updated to my namespace,NL
kubernetes,resources:,CODE
kubernetes,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!",NL
kubernetes,~~~ spec: containers: - image: gcr.io/my-project/my-app:latest name: my-app securityContext: privileged: true capabilities: add: - SYS_ADMIN lifecycle: postStart: exec: command: - sh - -c - > su www-root,CODE
kubernetes,"I see, what makes your dev env so big? is it the amount of services/deployments/pods/containers or data or?",NL_CODE
kubernetes,"don't wake me up at 2AM if, by the time I log in, everything has recovered.",NL
kubernetes,storage: 20Gi,CODE
kubernetes,and have the contents of foo as a file from the config maap in a pod ?,NL
kubernetes,ERROR: logging before flag.Parse: W1026 21:48:02.659312 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused,LOG
kubernetes,nginx,CODE
kubernetes,@U7N4JEF9U change it to 'cgroupfs' as docker is using that driver,NL
kubernetes,"not sure I can tell you how to debug the binary kube-proxy, but I've seen those responses while the containers in the relevant Pod are still starting up. Double check the state of the pod with kubectl get pods or kubectl describe pod <podname> to make sure the containers are fully operational and in the state Running. Until they're set up, this error could occur simply because kube-proxy can't make the connection over the internal Pod network in your cluster.",NL
kubernetes,google it!,NL
kubernetes,"okay, will do",NL
kubernetes,docker inspect,CODE
kubernetes,I have 3 masters and all of them have effect: NoSchedule,NL
kubernetes,interesting. I didn't know GKE utilized an ingress controller.,NL
kubernetes,(I don't have an answer to your question fwiw),NL
kubernetes,@kdockery Should that work with a curl request?,NL
kubernetes,#NAME?,CODE
kubernetes,https://gist.github.com/mikejk8s/97322f4314fe4f89d62fb4f79fffa1aa,CODE
kubernetes,"error: error validating nginxbuyflow-servicenewnodeport.yml: error validating data: field spec.ports[0].port for v1.ServicePort is required; if you choose to ignore these errors, turn validation off with --validate=false",NL_LOG
kubernetes,"ah crud. Thank you, apologies.",NL
kubernetes,@mario for namespaces I just use -n <namespace> in my commands,NL_CODE
kubernetes,user: client-certificate-data: <base64-encoded-cert> client-key-data: <base64-encoded-key>,CODE
kubernetes,you're welcome,NL
kubernetes,kubectl version --short,CODE
kubernetes,are you mounting that volume the same way as the emptyDir?,NL
kubernetes,readinessProbe:,CODE
kubernetes,"We've just added a node to our cluster. We've now got 1 Master 2 nodes, (I'm still trying to get around to HA......Asking for additional resources is like trying to bleed a rock.) Master and Node 1 have 2TB RAID 10 Disks, and 32GB Ram. Node 2, which I just added this week has 2TB RAID 10 Disks and 64GB ram.",NL
kubernetes,"@U7P7RBJEA hmm that should do the trick$ kubectl get svc --namespace kube-system | grep traefik traefik-ingress-service NodePort 10.233.54.87 <none> 80:32077/TCP,8080:30175/TCP 29d traefik-web-ui ClusterIP 10.233.52.169 <none> 80/TCP 29d $ curl -L 10.233.52.169:80 <!doctype html> <html ng-app=traefik>",NL_CODE
kubernetes,Oct 26 16:42:20 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.999680 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54068: remote error: tls: bad certificate,LOG
kubernetes,@masteinhauser You want -> @liggitt,NL
kubernetes,@danb https://kubernetes.io/docs/concepts/configuration/assign-pod-node/ may help,NL_CODE
kubernetes,kris-mbp:virtualbox-cluster kris$ cat pv-test.yaml,CODE
kubernetes,"/usr/sbin/nginx,-s,quit",CODE
kubernetes,"thx a lot folks, it workedI read thro the docs and they had mentioned that entrypoint is equivalent to command in kubernetes and since docker run -it --entrypoint /bin/bash worked, I assumes it was correct",NL_CODE
kubernetes,What is the kube-test-image running?,NL
kubernetes,gcloud container clusters get-credentials $CLUSTER_NAME_STG,CODE
kubernetes,"@U7L73A2RE FYI, I just checked the docs on what you stated and it sounds like that shouldn't be allowed, but it definitely seems like it could be based around the ClusterRole scope versus a RoleBinding scope",NL
kubernetes,Can I instruct deployment to deploy pods on all nodes matching label=X rather than specifying replication factor?,NL
kubernetes,@3molo Hi Mate How I can do that?,NL
kubernetes,The most filled disk is 83%. still 20G free,NL
kubernetes,root 560 0.0 0.2 34424 2796 ? R+ 16:59 0:00 ps aux,CODE
kubernetes,@carldanley its a bug in the doc. should be /nginx-ingress-controller --version,NL_CODE
kubernetes,"@U7Q9UM449 Hmm I've not tried connecting with Wifi Adapters - not the best way of doing it imo. Hardwired ethernet connectors will give you the best internet speeds, and unless you have a fool in your office, they won't be unplugged.",NL
kubernetes,"Yeah not hard, just not super dynamic. I think I can do some bash foo to automate most of it though",NL
kubernetes,ERROR: logging before flag.Parse: W1026 21:48:07.659838 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57985->127.0.0.1:53: read: connection refused,LOG
kubernetes,E1026 22:03:50.476932 1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.210.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.210.0.1:443: i/o timeout,LOG
kubernetes,In your kube-apiserver have you setup client-ca-file?,NL
kubernetes,So what I did is added /etc/systemd/system/docker.service.d/docker-thinpool.conf --exec-opt native.cgroupdriver=systemd Then Restart Docker Deamon Then reset kubeadm then fire kubeadm init,NL_CODE
kubernetes,"heh, newbie here, sorry",NL
kubernetes,"Hi, I have a container that runs as a pod with the entrypoint , /apps/mst/deployments/scripts/app_deploy.sh, but it crashes on start.To debug that, I thought I'll override the entrypoint thro kubernetes spec by command: [/bin/bash]. But still crashes.....am I doing it the right way?",NL_CODE
kubernetes,ohhh,NL
kubernetes,starting container process caused \\\exec: \\\\\\\/bin/sh\\\\\\\: stat /bin/sh: no such file or directory\\\\\n\,NL_LOG
kubernetes,--pod-manifest-path=/etc/kubernetes/manifests \,CODE
kubernetes,"@likered bash is not in the container,.. try sh",NL
kubernetes,"My cluster have 1 master and 2 nodes, but in local network",NL
kubernetes,"@pl @walteraa uh i expected it wouldn't be so complex (vs simple, not hard).",NL
kubernetes,https://kubernetes.io/docs/concepts/cluster-administration/networking/,CODE
kubernetes,"I've just added a new namespace, and tried to helm install stuff there, and got the error Error: release jenkins-stg failed: User system:serviceaccount:kube-system:default cannot get namespaces in the namespace jenkins. (get namespaces jenkins). I've looked through the RBAC docs, but don't see anything about needing to add perms to the default role for new namespaces. Has anyone run into this before?",NL_LOG
kubernetes,limits:,CODE
kubernetes,"hmm, Error from server: Get https://sugi:10250/containerLogs/default/my-nginx-217742694-7xh18/my-nginx: dial tcp 127.0.1.1:10250: getsockopt: connection refused",NL_LOG
kubernetes,Arghhh... not exactly the automated approach I was hoping for,NL
kubernetes,lifecycle:,CODE
kubernetes,this is the sync tool,NL
kubernetes,FSType: ext4,CODE
kubernetes,"with curl on :5000 I get connection refused, and :31974 waits",NL_CODE
kubernetes,Try looking at the logs for the pod with kubectl logs my-nginx-217742694-7xh18,NL_CODE
kubernetes,What are everyones thoughts on https://www.theverge.com/2017/10/25/16538834/amazon-key-in-home-delivery-unlock-door-prime-cloud-cam-smart-lock,NL_CODE
kubernetes,"Hello everybody, did someone face hanging while k8s starting when you disconnect Ethernet cable on a master Node? If I connect the Ethernet cable and start the machine, everything is ok. I'm running on centos 7.4 and k8s 1.8.1. Looking at logs I found ca-registration failure and etcd container is down. Any suggestion? Tks in adavamce",NL_LOG
kubernetes,I seem many file for docker.service,NL
kubernetes,"Ty, yeah I noticed that. Was hoping to avoid creating multiple files. This way I could create an empty template file for people who manage secrets and I don't have to show them how to base64 encode the values (I'd like the --from-file option do it for me)",NL_CODE
kubernetes,"You can use JDBC like jdbc:postgresql://pgmaster.default.svc.cluster.local:5432/dbname to connect in the postgres pod, but the POD A *will not able* to perform a ICMP request to Pod B if the Pod B through the service.",NL_CODE
kubernetes,I see,NL
kubernetes,The contrib one. I think it's miles better. (And at least in my experience I haven't had to change any config for WebSockets to work.),NL
kubernetes,"https://kubernetes.io/docs/concepts/cluster-administration/networking/#summary has a good overview - in short, k8s assumes that all pods have an IP and all pod IPs are routable from the whole cluster. The various networking options can make this happen in different ways.",NL_CODE
kubernetes,"kdockery, maybe you can help with another issue that I pasted earlier then, https://bpaste.net/show/321a1140ae59 :-deg",NL_CODE
kubernetes,@kwladyka You should use jq lib,NL
kubernetes,"btw u were right. k8s' command is docker's entrypoint, but u probably were missing the cmd itself",NL
kubernetes,how do you configure them then? Kubes allows you to attach PD manually in pod,NL
kubernetes,"Hey, @foxie. Is there a specific issue you had with it? We're considering testing soon.",NL
kubernetes,Does anyone know why I would keep getting NodeUnderDiskPressure as the reason a pod can't be deployed? that particular node doesn't have any disk activity,NL
kubernetes,command: $x,CODE
kubernetes,"@liggetm oh yay, happy to chat wherever makes the most sense. Happy to discuss use-case.",NL
kubernetes,neither*,NL
kubernetes,pid /run/nginx.pid;,CODE
kubernetes,22h 1s 9 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 15; reason: Current number of replicas above Spec.MaxReplicas,LOG
kubernetes,I did what you told me but it seems it didn't work either,NL
kubernetes,"hi guys, I'm trying to increase the size of an EBS volume. Anyone have any tips on how I should go about copying over existing data to a new larger EBS volume and then changing the PVC to use the new larger volume?",NL
kubernetes,"@dastan i believe it, or kubelet may try to enable the module",NL
kubernetes,"I need to use prometheus for that so I guess I have to change the port to 9090, right?",NL
kubernetes,you can try simple docker run imagename bash -c /tmp/setup.sh,NL_CODE
kubernetes,"Guys, I'm at my wits end. I've mounted local storage as (/app/session) and I can mkdir a folder (/app/session/bar), but not change its permission and I don't have permission to the folder I just made, so I can't make another sub-folder (/app/session/bar/foo). *mounted as so:* $ minikube mount /sdl/mount:/mount-9p *container spec:* volumeMounts: - mountPath: /app/session name: session-volume *deployment spec* volumes: - name: session-volume hostPath: path: /mount-9p/session *Dockerfile seems correct for every container* RUN [mkdir, -p, /app/session, /app/common] RUN [chown, -R, daemon:daemon, /app/session, /app/common] VOLUME [/app/session, /app/common] *Permissions are correct*sdl git:(master)ls -l /sdl/mount total 0 drwxrwxrwx 10 rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains wheel 374 Oct 26 15:06 session drwxrwxrwx 3 rajbains wheel 102 Oct 24 18:04 user-data",NL_CODE
kubernetes,config:256,CODE
kubernetes,I have : kube-system kube-controller-manager-gm2-master1 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master2 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master3 1/1 Running 0 1d,NL_CODE
kubernetes,"yes, restartPolicy is done at the pod layer, not the deployment or job layer.",NL
kubernetes,"wow that is not bad at all, thanks for sharing. Which technologies do these projects rely on and is it ok to assume you are using a pre build reload experience when changing code to have this?",NL
kubernetes,Anyone know if there's a way to contact the steering committee?,NL
kubernetes,"if u run /bin/sh I don't think the pod will stay alive, should it?",NL_CODE
kubernetes,try launching it via docker without kube,NL
kubernetes,"@U7N4JEF9U Either change cgroup driver of docker to systemd, or better change kubelet cgroup driver to cgroupfs",NL
kubernetes,what if node fails on which this bot is running? it sends afterwards?,NL
kubernetes,We need to see what node selector you are using.,NL
kubernetes,@U7N4JEF9U The docker driver. perhaps in docker.service,NL
kubernetes,yupp,NL
kubernetes,"I restarted the master just to eliminate that something in it was wrong, and then I did some serious pod-o-cide and killed many of them so they would get rescheduled",NL
kubernetes,well crap. I tried,NL
kubernetes,kris-mbp:virtualbox-cluster kris$ kubectl --kubeconfig=./config apply -f pv-test.yaml,CODE
kubernetes,higher than 30000 actualkly,NL
kubernetes,Oct 26 16:42:19 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.858324 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54062: remote error: tls: bad certificate,LOG
kubernetes,I don't think you should have to manually change that. Networking should handle the IP allocation automatically.,NL
kubernetes,ERROR: logging before flag.Parse: W1026 21:48:07.659839 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57988->127.0.0.1:53: read: connection refused,LOG
kubernetes,"yeah, can define role cluster-wide with a ClusterRole, grant it locally with a RoleBinding",NL
kubernetes,tolerations:,CODE
kubernetes,@walteraa does the firewall need to know about the overlay network used for k8s? or does it encapsulate?,NL
kubernetes,"@high_on_bananas okay, np",NL
kubernetes,"Hmm, then the port would be fixed, that may be the answer",NL
kubernetes,hello is posible upgrade kubernetes cluster in Centos 7 1.5 baremetal to 1.6???,NL
kubernetes,"No, you're totally wrong.",NL
kubernetes,"@U7MJLP5CL, you can see full list of supported annotations here: https://github.com/kubernetes/kubernetes/blob/v1.8.0/pkg/cloudprovider/providers/aws/aws.go#L83",NL_CODE
kubernetes,does anyone here has implemeted kubernetes federation already ?,NL
kubernetes,either i am blind or i dont understand the concept of k8s I wrote a deployment.yaml that should consist two different containers that are not on the same pod. but both are started in the same pod. what am i getting wrong here?,NL
kubernetes,fixed it,NL
kubernetes,hello. am i able to use kubectl to get/edit ExternalAdmissionHookConfigurations?,NL
kubernetes,Oct 26 20:19:43 test2-minion-8IcjE kubelet-wrapper[5596]: Error: failed to run Kubelet: could not init cloud provider aws: error finding instance i-0d01f6f07e33605e3: error listing AWS instances: \RequestError: send request failed\\ncaused by: Post https://ec2.us-east-1.amazonaws.com/: dial tcp: lookup ec2.us-east-1.amazonaws.com on [::1]:53: read udp [::1]:36716->[::1]:53: read: connection refused\,LOG
kubernetes,http:,CODE
kubernetes,"but svc will expose internal clusterIP, not ?",NL
kubernetes,"When i google it, the only solution people seem to provide is increasing ELB timeout. Even after increasing it, i see the above error. Any suggestions of how to connect to etcd with flannel? I am able to curl from the worker node without issues",NL
kubernetes,kind: Config,CODE
kubernetes,Do anyone know is there a way to access cluster with token ( and a way to generate it ) instead of whole kubeconfig ?,NL
kubernetes,gimme a sec,NL
kubernetes,kind: PersistentVolumeClaim,CODE
kubernetes,You must install a pod network add-on so that your pods can communicate with each other. could that be a cause?,NL
kubernetes,i/o timeout,LOG
kubernetes,"Ahhh, good question. Let me see what I can find.",NL
kubernetes,Self signed in my case,NL
kubernetes,Oct 26 17:37:29 test178-minion-MTvrc kubelet-wrapper[1194]: I1026 17:37:29.243788 1194 tags.go:76] AWS cloud filtering on ClusterID: test178,LOG
kubernetes,Deployment looks at the Pod api object,NL
kubernetes,"@U7Q1KJCG0 Does your manifest have the kind: PersistentVolume line uncommented, and without any dashes in front of it?",NL
kubernetes,They don't have the same ip,NL
kubernetes,@U7LULHTJL you should take a look at GitlabCI as well. My experience has been very good so far.,NL
kubernetes,let me restart all deamon and,NL
kubernetes,kubernetes cluster,NL
kubernetes,"gotchya, okay thanks for clarifying, that makes sense now.",NL
kubernetes,does not list them,NL
kubernetes,"Guys, is there any reference about cron jobs schedule time? In the official documentation uses schedule: */1 * * * * and tells that it schedule the job each 1 min",NL_CODE
kubernetes,I decided to write this post after struggling to find documentation on how to write a Kubernetes operator that went through the code with...,NL
kubernetes,but some of the docks on ingress only we can assign hostname for redirection backend paths,NL
kubernetes,after 1.12.6 Docker also changed how nat rules are generated so you would guaranteed have trouble,NL
kubernetes,name: wiki-config,CODE
kubernetes,yep!!,NL
kubernetes,"a python flask app, nothing interesting",NL
kubernetes,"i *do* build the containers, but it doesn't really matter",NL
kubernetes,root 1 0.0 0.6 200856 6480 ? Ssl 16:55 0:00 ./price-project,CODE
kubernetes,Error from server (AlreadyExists): error when creating cockroachdb1.yaml: statefulsets.apps cockroachdb already exists bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl get statefulset No resources found. bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl de,LOG
kubernetes,user root,CODE
kubernetes,@3molo,NL
kubernetes,volumeMounts:,CODE
kubernetes,looks like to Google counterpart of AWS EBS,NL
kubernetes,"if you just want to explore the filesystem you can also ssh to the node and dig up the actual mount... it's cumbersome, but possible.",NL
kubernetes,PATH may not work unless you have a working shell!,NL
kubernetes,Hey @bo0m3r31337! That's right. So Installed kubectl inside the container and i found the secret token at /var/run/secrets/kubernetes.io/serviceaccount/token. But i'm not really sure where to go from there.,NL_CODE
kubernetes,"unfortunately that doesn't seem to be the issue. Tried it with one, two and four extra spaces and got the same result",NL
kubernetes,bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl delete statefulset cockroachdb error: timed out waiting for cockroachdb to be synced,NL_LOG
kubernetes,secrets,NL
kubernetes,@mettjus yes I wanted to happen this automatically. I don't want to delete nor drain.,NL
kubernetes,"hmm, shouldnt I delete this pod first? and try all over again?",NL
kubernetes,kibana must also have xpack if your ES cluster has that,NL
kubernetes,well kpod ps said exactly no output for one,NL
kubernetes,"well, i have a google app that i need to deploy and my environment is mixed with gce and gke structure, i have two php nodes that i use on the gce that needs to comunicate with couple of apps that i want to store on gke... in another words, i have php app on gce that want to acces reddis nodejs and elasticsearch on gke cluster. i need to expose local ip from the service that i use for the apps in kubernetes i can comunicate with the pods in kubernetes but that wil not solve my problem because what if i need to add another pod, so it means i want to comunicate with the service(loadBalancer) that comunicates with the pods of the exact app... some help please or some solution about that,",NL
kubernetes,command: [bash],CODE
kubernetes,Type: GCEPersistentDisk,CODE
kubernetes,Your service doesn't have to be any different,NL
kubernetes,thanks!,NL
kubernetes,i was also wondering what that is,NL
kubernetes,rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains whe,CODE
kubernetes,"Absolutely, that's entirely what we will be using Roles and RoleBindings for, however, we still need some sort of cluster-admin type role that's limited to create/update/delete at the namespace level and setup those per-namespace Bindings. That's what I'm mainly interested in limiting, everything else makes sense.",NL
kubernetes,thanks a lot for help!,NL
kubernetes,22h 4m 2 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 16; reason: cpu resource utilization (percentage of request) above target,LOG
kubernetes,"That is a big question.. look at the loadbalancer in services, but you need an ELB for that..",NL
kubernetes,anyone seen this before? (kubelets have --max-pods=X and --pod-cidr=),NL_CODE
kubernetes,@stephenenelson ok thankyou,NL
kubernetes,app: pricelabel-app,CODE
kubernetes,"Yeah, so maybe DNS isn't exactly the issue, but your pod and the kubernetes service shouldn't have the same IP so there's something weird with your networking.",NL
kubernetes,How to satisfy Ingress Certificate and Key requirements? Do I need to chain? I am getting error: failed to load key pair tls: private key does not match public key when doing:,NL
kubernetes,"I still have kube-proxy stuck in Init, anyone an idea how to fix that?",NL
kubernetes,"this init my script in PID 1, but it doesn't work.",NL
kubernetes,"that's a fine entrypoint if you're using kubectl run -it and want an interactive pod for a short bit, but it won't stay running (as you saw) and will immediately exit. You might be better doing the old classic sleep/wait thing to hold it there (what @mettjus suggests)",NL
kubernetes,- -c,CODE
kubernetes,http://bfy.tw/Ehui,CODE
kubernetes,yeah,NL
kubernetes,aww.,NL
kubernetes,"from my understanding defaul ttl for events is 1h (should be configurable on apiserver). that could be the reason for Events: <none>. maybe u could delete the statefulset and recreate it, then describe. not sure at all if that will help",NL
kubernetes,"@U7L73A2RE I set up a bare metal machine with Ubuntu 17, and put docker on it. Now I am going through the Udacity tutorial on Kubernetes. It's pretty good",NL
kubernetes,"7s 5s 2 kubelet, spec.containers{ares} Normal Created Created container 6s 4s 2 kubelet, spec.containers{ares} Normal Started Started container 2s 1s 2 kubelet, spec.containers{ares} Warning BackOff Back-off restarting failed container 2s 1s 2 kubelet, Warning FailedSync Error syncing pod",LOG
kubernetes,kind: Deployment,CODE
kubernetes,current-context: default,CODE
kubernetes,"Hi, I am trying to run a command inside a pod by kubectl run podname --image=imagename --port=80 --image-pull-policy=IfNotPresent --command -- bash -c /tmp/setup.sh but my pod goes continously in crashloopbaack state. However if I start a pod by kubectl run podname --image=imagename --port=80 --image-pull-policy=IfNotPresent --command and then do kubectl exec -ti podname-597fdb98d9-z5xvx -- bash -c /tmp/setup.sh the specified command works. Does anyone know how to fix this issue?",NL_CODE
kubernetes,and ? just check yaml syntax ?,NL
kubernetes,@lukas.dolezal but then it will cause more issues in my case ...,NL
kubernetes,I removed the volume part and added the volumeClaimTemplates,NL
kubernetes,remember to use the NODEIPADDDRESS,NL
kubernetes,Is it possible to specify multiple secrets in an file and use the kubectl create secret --from-file option?,NL
kubernetes,This is in the namespace prometheus in cluster-1,NL
kubernetes,"Actually it is the template stuff that is really cool. You write generic chart and then one or more config.yaml more specialized to your env (prod, staging,...). We actually written once when we were on marathon but here helm is cooler, with a linter, handle rolling updates, and stuff I don't know about yet",NL
kubernetes,tolerations????,NL
kubernetes,I don't want that. I want a new container/pod provisioned.,NL
kubernetes,@U7LULHTJL lots of stuff could be done with GCE cloudbuild,NL
kubernetes,do you have dns addon?,NL
kubernetes,"nice, thanks!",NL
kubernetes,SIGTERM,CODE
kubernetes,what does the volume in the pod look like?,NL
kubernetes,https://github.com/roffe/kube-login is a extended example-app based on the one DEX has made to let one template the token page,NL_CODE
kubernetes,ingress has to be placed in the namespace where it's service is afaik,NL
kubernetes,awesome @smerrill,NL
kubernetes,replicas: 1,CODE
kubernetes,that authority certificate should be referred into kube config file,NL
kubernetes,documetation wasn't clear enough to me tbh and in many blogs i saw Certs and TLS being used at the same time,NL
kubernetes,"so, until reaper deletes the pod api object, deployment will not restart",NL
kubernetes,^,CODE
kubernetes,Strange.,NL
kubernetes,"The above error should come, when the api server is presenting a certificate which is NOT signed by the entity specified in certificate-authority",NL
kubernetes,running.,NL
kubernetes,"kdockery, https://bpaste.net/show/548efe3325bb this is what I get now",NL_CODE
kubernetes,"nope it cant, but I would helm install honestbee / drone or any DEIS product with it",NL
kubernetes,the simplest thing ever,NL
kubernetes,do you controller examples,NL
kubernetes,Are they on the same L2 network?,NL
kubernetes,"this is in dev in minikube, so no SSL",NL
kubernetes,"error: unable to recognize cron-job.yaml: no matches for batch/, Kind=CronJob",LOG
kubernetes,dial tcp 10.210.0.1:443: i/o timeout,LOG
kubernetes,"Sure Avinogradov , thank you",NL
kubernetes,"Moving here, minikube is quiet",NL
kubernetes,i use shell aliases and separate kubeconfig files,NL
kubernetes,I have given it a existing public ip in a different resource group then my current one but it's not creating a lb,NL
kubernetes,a volume populated by a ConfigMap,NL
kubernetes,As a note on this,NL
kubernetes,you have to expose a Service of type NodePort or LoadBalancer then connect to that.,NL
kubernetes,Then your master node has tokeration NoSchedule,NL
kubernetes,Ah is it like a health check you're doing foxie?,NL
kubernetes,it's 3,NL
kubernetes,"guys, may be somebody can help me (it make me crazy)",NL
kubernetes,the later,NL
kubernetes,I can ping,NL
kubernetes,"@kwladyka the YAML files are plain data dumps, so you need to add some scripting",NL
kubernetes,Okies thanks to @3molo I have started the clusted successfully,NL
kubernetes,@spotter check if kube-proxy on node is up and running,NL
kubernetes,you need a headless one,NL
kubernetes,through what?,NL
kubernetes,@U7FCJNU58 Are your nodes in a Ready state? kubectl get nodes,NL
kubernetes,"yep, missed it ....",NL
kubernetes,"either way, doesn't do what I want it to. don't want the same container restarted. I'd like a new container form the same image.",NL
kubernetes,jobs won't even do it due to pod level restart policy. I need a run policy or something,NL
