ID,Jianwen,Maelick,Jianwen Mixed,Maelick Mixed,notes,Disagreement,Text
27,NL,NL,,,,FALSE,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?"
28,NL,NL,,,,FALSE,so it must use encapsulation then?
29,NL,NL,,,,FALSE,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?"
30,NL,NL,,,,FALSE,not so hard though
31,NL,NL,,,,FALSE,@U7MP7D5EV Can you provide the full output of the describe command?
32,NL,Mixed,,Version,,TRUE,it's set to 1.1
33,NL,NL,,,,FALSE,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks"
34,Mixed,Mixed,,"Id, File",,FALSE,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists"
35,NL,NL,,,,FALSE,ok you are exposing nginx to port 80 in the worker node IP address
36,Code,,,,,TRUE,ingress.kubernetes.io/ssl-passthrough: true
37,NL,NL,,,,FALSE,I have the following deployment:
38,NL,NL,,,,FALSE,as flag in
39,NL,,,,,TRUE,ha
40,NL,NL,,,,FALSE,"Its ok, thank you for consideration, glad i could help"
41,Code,,,,,TRUE,namespace: default
42,Code,,,,,TRUE,namespace: app
43,NL,NL,,,,FALSE,"At that point, you'd have to use the external IP/hostname for the desired cluster/service."
44,Mixed,Error,Error,,,TRUE,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]"
45,Mixed,Mixed,,Id,,FALSE,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?"
46,NL,NL,,,,FALSE,sorry
47,NL,NL,,,,FALSE,you've created a definition for where the traffic should go but nothing is being done with that traffic
48,Mixed,Mixed,,File,,FALSE,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?"
49,NL,NL,,,,FALSE,You can just put both hosts in
50,NL,Mixed,,Id,,TRUE,In your kube config file try to base64 decode certificate-authoririty
51,NL,NL,,,,FALSE,What's up guys. You know how when you do kubectl get pods you get something that looks like:
52,NL,NL,,,,FALSE,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all
53,NL,NL,,,,FALSE,ya. I am using preemtible vms on gc and need to monitor node level
54,NL,NL,,,,FALSE,think I have to try it first
55,NL,NL,,,,FALSE,I should add it in the manifest?
56,NL,NL,,,,FALSE,how I can do that
57,NL,NL,,,,FALSE,"the count, if at all"
58,NL,NL,,,,FALSE,Have you tried rook?
59,NL,NL,,,,FALSE,not hard
60,Mixed,Mixed,,"Id, IP",,FALSE,"kdockery, https://bpaste.net/show/5ee3626fbba7 here's what I have! The Endpoint still points to 10.254.0.1, which is the svc/kubernetes (I pasted the description of that one as well)"
61,NL,NL,,,,FALSE,Interesting.
62,NL,NL,,,,FALSE,My config file has been updated to my namespace
63,NL,NL,,,,FALSE,resources:
64,NL,NL,,,,FALSE,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!"
65,Other,,,,,TRUE,~~~ spec: containers: - image: gcr.io/my-project/my-app:latest name: my-app securityContext: privileged: true capabilities: add: - SYS_ADMIN lifecycle: postStart: exec: command: - sh - -c - > su www-root
66,NL,NL,,,,FALSE,"I see, what makes your dev env so big? is it the amount of services/deployments/pods/containers or data or?"
67,NL,NL,,,,FALSE,"don't wake me up at 2AM if, by the time I log in, everything has recovered."
68,NL,,,,,TRUE,storage: 20Gi
69,NL,NL,,,,FALSE,and have the contents of foo as a file from the config maap in a pod ?
70,Error,Error,,,,FALSE,ERROR: logging before flag.Parse: W1026 21:48:02.659312 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused
71,NL,,,,,TRUE,nginx
72,NL,NL,,,,FALSE,@U7N4JEF9U change it to 'cgroupfs' as docker is using that driver
73,Mixed,Mixed,,?,,FALSE,"not sure I can tell you how to debug the binary kube-proxy, but I've seen those responses while the containers in the relevant Pod are still starting up. Double check the state of the pod with kubectl get pods or kubectl describe pod <podname> to make sure the containers are fully operational and in the state Running. Until they're set up, this error could occur simply because kube-proxy can't make the connection over the internal Pod network in your cluster."
74,#N/A,NL,,,,#N/A,google it!
75,NL,NL,,,,FALSE,"okay, will do"
76,Code,NL,,,,TRUE,docker inspect
77,NL,Mixed,,Id,,TRUE,I have 3 masters and all of them have effect: NoSchedule
78,NL,NL,,,,FALSE,interesting. I didn't know GKE utilized an ingress controller.
79,NL,NL,,,,FALSE,(I don't have an answer to your question fwiw)
80,NL,NL,,,,FALSE,@kdockery Should that work with a curl request?
81,Code,,,,,TRUE,- host: labels.foo.eu
82,URL,URL,,,,FALSE,https://gist.github.com/mikejk8s/97322f4314fe4f89d62fb4f79fffa1aa
83,Mixed,Error,"File,Error",,,TRUE,"error: error validating nginxbuyflow-servicenewnodeport.yml: error validating data: field spec.ports[0].port for v1.ServicePort is required; if you choose to ignore these errors, turn validation off with --validate=false"
84,NL,NL,,,,FALSE,"ah crud. Thank you, apologies."
85,Mixed,Mixed,,Command,,FALSE,@mario for namespaces I just use -n <namespace> in my commands
86,Other,,,,,TRUE,user: client-certificate-data: <base64-encoded-cert> client-key-data: <base64-encoded-key>
87,NL,NL,,,,FALSE,you're welcome
88,Code,Command,,,,TRUE,kubectl version --short
89,NL,Mixed,,Id,,TRUE,are you mounting that volume the same way as the emptyDir?
90,NL,Id,,,,TRUE,readinessProbe:
91,NL,NL,,,,FALSE,"We've just added a node to our cluster. We've now got 1 Master 2 nodes, (I'm still trying to get around to HA......Asking for additional resources is like trying to bleed a rock.) Master and Node 1 have 2TB RAID 10 Disks, and 32GB Ram. Node 2, which I just added this week has 2TB RAID 10 Disks and 64GB ram."
92,Mixed,Mixed,,"Command, Code",,FALSE,"@U7P7RBJEA hmm that should do the trick$ kubectl get svc --namespace kube-system | grep traefik traefik-ingress-service NodePort 10.233.54.87 <none> 80:32077/TCP,8080:30175/TCP 29d traefik-web-ui ClusterIP 10.233.52.169 <none> 80/TCP 29d $ curl -L 10.233.52.169:80 <!doctype html> <html ng-app=traefik>"
93,Error,Log,,,,TRUE,Oct 26 16:42:20 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.999680 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54068: remote error: tls: bad certificate
94,NL,NL,,,,FALSE,@masteinhauser You want -> @liggitt
95,Mixed,Mixed,URL,URL,,FALSE,@danb https://kubernetes.io/docs/concepts/configuration/assign-pod-node/ may help
96,Code,Command,,,,TRUE,kris-mbp:virtualbox-cluster kris$ cat pv-test.yaml
97,Code,Command,,,,TRUE,"/usr/sbin/nginx,-s,quit"
98,Mixed,Mixed,,Command,,FALSE,"thx a lot folks, it workedI read thro the docs and they had mentioned that entrypoint is equivalent to command in kubernetes and since docker run -it --entrypoint /bin/bash worked, I assumes it was correct"
99,NL,Mixed,,Id,,TRUE,What is the kube-test-image running?
100,Code,Command,,,,TRUE,gcloud container clusters get-credentials $CLUSTER_NAME_STG
101,NL,Mixed,,Id,,TRUE,"@U7L73A2RE FYI, I just checked the docs on what you stated and it sounds like that shouldn't be allowed, but it definitely seems like it could be based around the ClusterRole scope versus a RoleBinding scope"
102,NL,NL,,,,FALSE,Can I instruct deployment to deploy pods on all nodes matching label=X rather than specifying replication factor?
103,NL,NL,,,,FALSE,@3molo Hi Mate How I can do that?
104,NL,NL,,,,FALSE,The most filled disk is 83%. still 20G free
105,Other,,,,CLI output,TRUE,root 560 0.0 0.2 34424 2796 ? R+ 16:59 0:00 ps aux
106,Mixed,MIxed,,Command,,FALSE,@carldanley its a bug in the doc. should be /nginx-ingress-controller --version
107,NL,NL,,,,FALSE,"@U7Q9UM449 Hmm I've not tried connecting with Wifi Adapters - not the best way of doing it imo. Hardwired ethernet connectors will give you the best internet speeds, and unless you have a fool in your office, they won't be unplugged."
108,NL,NL,,,,FALSE,"Yeah not hard, just not super dynamic. I think I can do some bash foo to automate most of it though"
109,Error,Log,,,,TRUE,ERROR: logging before flag.Parse: W1026 21:48:07.659838 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57985->127.0.0.1:53: read: connection refused
110,Error,Trace,,,,TRUE,E1026 22:03:50.476932 1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.210.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.210.0.1:443: i/o timeout
111,NL,MIxed,,Id,,TRUE,In your kube-apiserver have you setup client-ca-file?
112,Mixed,Mixed,,Command,,FALSE,So what I did is added /etc/systemd/system/docker.service.d/docker-thinpool.conf --exec-opt native.cgroupdriver=systemd Then Restart Docker Deamon Then reset kubeadm then fire kubeadm init
113,NL,NL,,,,FALSE,"heh, newbie here, sorry"
114,Mixed,Mixed,,File,,FALSE,"Hi, I have a container that runs as a pod with the entrypoint , /apps/mst/deployments/scripts/app_deploy.sh, but it crashes on start.To debug that, I thought I'll override the entrypoint thro kubernetes spec by command: [/bin/bash]. But still crashes.....am I doing it the right way?"
115,NL,NL,,,,FALSE,ohhh
116,Mixed,Mixed,,Error,,FALSE,starting container process caused \\\exec: \\\\\\\/bin/sh\\\\\\\: stat /bin/sh: no such file or directory\\\\\n\
117,Code,Command,,,,TRUE,--pod-manifest-path=/etc/kubernetes/manifests \
118,NL,NL,,,,FALSE,"@likered bash is not in the container,.. try sh"
119,NL,NL,,,,FALSE,"My cluster have 1 master and 2 nodes, but in local network"
120,NL,NL,,,,FALSE,"@pl @walteraa uh i expected it wouldn't be so complex (vs simple, not hard)."
121,URL,URL,,,,FALSE,https://kubernetes.io/docs/concepts/cluster-administration/networking/
122,Mixed,Mixed,,Error,,FALSE,"I've just added a new namespace, and tried to helm install stuff there, and got the error Error: release jenkins-stg failed: User system:serviceaccount:kube-system:default cannot get namespaces in the namespace jenkins. (get namespaces jenkins). I've looked through the RBAC docs, but don't see anything about needing to add perms to the default role for new namespaces. Has anyone run into this before?"
123,NL,,,,,TRUE,limits:
124,Mixed,Mixed,,Error,,FALSE,"hmm, Error from server: Get https://sugi:10250/containerLogs/default/my-nginx-217742694-7xh18/my-nginx: dial tcp 127.0.1.1:10250: getsockopt: connection refused"
125,NL,NL,,,,FALSE,Arghhh... not exactly the automated approach I was hoping for
126,NL,,,,,TRUE,lifecycle:
127,NL,NL,,,,FALSE,this is the sync tool
128,Other,,,,,TRUE,FSType: ext4
129,Mixed,NL,,,,TRUE,"with curl on :5000 I get connection refused, and :31974 waits"
130,Mixed,Mixed,,?,,FALSE,Try looking at the logs for the pod with kubectl logs my-nginx-217742694-7xh18
131,Mixed,Mixed,,URL,,FALSE,What are everyones thoughts on https://www.theverge.com/2017/10/25/16538834/amazon-key-in-home-delivery-unlock-door-prime-cloud-cam-smart-lock
132,NL,Mixed,,Version,,TRUE,"Hello everybody, did someone face hanging while k8s starting when you disconnect Ethernet cable on a master Node? If I connect the Ethernet cable and start the machine, everything is ok. I'm running on centos 7.4 and k8s 1.8.1. Looking at logs I found ca-registration failure and etcd container is down. Any suggestion? Tks in adavamce"
133,NL,NL,,,,FALSE,I seem many file for docker.service
134,NL,Mixed,,Command,,TRUE,"Ty, yeah I noticed that. Was hoping to avoid creating multiple files. This way I could create an empty template file for people who manage secrets and I don't have to show them how to base64 encode the values (I'd like the --from-file option do it for me)"
135,Mixed,Mixed,,URL,,FALSE,"You can use JDBC like jdbc:postgresql://pgmaster.default.svc.cluster.local:5432/dbname to connect in the postgres pod, but the POD A *will not able* to perform a ICMP request to Pod B if the Pod B through the service."
136,NL,NL,,,,FALSE,I see
137,NL,Mixed,,Id,,TRUE,The contrib one. I think it's miles better. (And at least in my experience I haven't had to change any config for WebSockets to work.)
138,Mixed,Mixed,,URL,,FALSE,"https://kubernetes.io/docs/concepts/cluster-administration/networking/#summary has a good overview - in short, k8s assumes that all pods have an IP and all pod IPs are routable from the whole cluster. The various networking options can make this happen in different ways."
139,Mixed,Mixed,,URL,,FALSE,"kdockery, maybe you can help with another issue that I pasted earlier then, https://bpaste.net/show/321a1140ae59 :-deg"
140,NL,NL,,,,FALSE,@kwladyka You should use jq lib
141,NL,NL,,,,FALSE,"btw u were right. k8s' command is docker's entrypoint, but u probably were missing the cmd itself"
142,NL,NL,,,,FALSE,how do you configure them then? Kubes allows you to attach PD manually in pod
143,NL,NL,,,,FALSE,"Hey, @foxie. Is there a specific issue you had with it? We're considering testing soon."
144,NL,Mixed,,Id,,TRUE,Does anyone know why I would keep getting NodeUnderDiskPressure as the reason a pod can't be deployed? that particular node doesn't have any disk activity
145,Code,,,,,TRUE,command: $x
146,NL,NL,,,,FALSE,"@liggetm oh yay, happy to chat wherever makes the most sense. Happy to discuss use-case."
147,NL,NL,,,,FALSE,neither*
148,Code,Command,,,,TRUE,pid /run/nginx.pid;
149,Mixed,,Code,,,TRUE,22h 1s 9 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 15; reason: Current number of replicas above Spec.MaxReplicas
150,NL,NL,,,,FALSE,I did what you told me but it seems it didn't work either
151,NL,NL,,,,FALSE,"hi guys, I'm trying to increase the size of an EBS volume. Anyone have any tips on how I should go about copying over existing data to a new larger EBS volume and then changing the PVC to use the new larger volume?"
152,NL,NL,,,,FALSE,"@dastan i believe it, or kubelet may try to enable the module"
153,NL,NL,,,,FALSE,"I need to use prometheus for that so I guess I have to change the port to 9090, right?"
154,Mixed,Mixed,,Command,,FALSE,you can try simple docker run imagename bash -c /tmp/setup.sh
155,Mixed,Mixed,,Command,,FALSE,"Guys, I'm at my wits end. I've mounted local storage as (/app/session) and I can mkdir a folder (/app/session/bar), but not change its permission and I don't have permission to the folder I just made, so I can't make another sub-folder (/app/session/bar/foo). *mounted as so:* $ minikube mount /sdl/mount:/mount-9p *container spec:* volumeMounts: - mountPath: /app/session name: session-volume *deployment spec* volumes: - name: session-volume hostPath: path: /mount-9p/session *Dockerfile seems correct for every container* RUN [mkdir, -p, /app/session, /app/common] RUN [chown, -R, daemon:daemon, /app/session, /app/common] VOLUME [/app/session, /app/common] *Permissions are correct*sdl git:(master)ls -l /sdl/mount total 0 drwxrwxrwx 10 rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains wheel 374 Oct 26 15:06 session drwxrwxrwx 3 rajbains wheel 102 Oct 24 18:04 user-data"
156,NL,,,,,TRUE,config:256
157,Mixed,Mixed,,?,,FALSE,I have : kube-system kube-controller-manager-gm2-master1 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master2 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master3 1/1 Running 0 1d
158,NL,Mixed,,Id,,TRUE,"yes, restartPolicy is done at the pod layer, not the deployment or job layer."
159,NL,NL,,,,FALSE,"wow that is not bad at all, thanks for sharing. Which technologies do these projects rely on and is it ok to assume you are using a pre build reload experience when changing code to have this?"
160,NL,NL,,,,FALSE,Anyone know if there's a way to contact the steering committee?
161,NL,Mixed,,File,,TRUE,"if u run /bin/sh I don't think the pod will stay alive, should it?"
162,NL,NL,,,,FALSE,try launching it via docker without kube
163,NL,NL,,,,FALSE,"@U7N4JEF9U Either change cgroup driver of docker to systemd, or better change kubelet cgroup driver to cgroupfs"
164,NL,NL,,,,FALSE,what if node fails on which this bot is running? it sends afterwards?
165,NL,NL,,,,FALSE,We need to see what node selector you are using.
166,NL,Mixed,,Id,,TRUE,@U7N4JEF9U The docker driver. perhaps in docker.service
167,NL,NL,,,,FALSE,yupp
168,NL,NL,,,,FALSE,"I restarted the master just to eliminate that something in it was wrong, and then I did some serious pod-o-cide and killed many of them so they would get rescheduled"
169,NL,NL,,,,FALSE,well crap. I tried
170,Code,Command,,,,TRUE,kris-mbp:virtualbox-cluster kris$ kubectl --kubeconfig=./config apply -f pv-test.yaml
171,NL,NL,,,,FALSE,higher than 30000 actualkly
172,Error,Log,,,,TRUE,Oct 26 16:42:19 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.858324 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54062: remote error: tls: bad certificate
173,NL,NL,,,,FALSE,I don't think you should have to manually change that. Networking should handle the IP allocation automatically.
174,Error,Log,,,Or Error?,TRUE,ERROR: logging before flag.Parse: W1026 21:48:07.659839 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57988->127.0.0.1:53: read: connection refused
175,NL,Mixed,,Id,,TRUE,"yeah, can define role cluster-wide with a ClusterRole, grant it locally with a RoleBinding"
176,NL,NL,,,,FALSE,tolerations:
177,NL,NL,,,,FALSE,@walteraa does the firewall need to know about the overlay network used for k8s? or does it encapsulate?
178,NL,NL,,,,FALSE,"@high_on_bananas okay, np"
179,NL,NL,,,,FALSE,"Hmm, then the port would be fixed, that may be the answer"
180,NL,Mixed,,Version,,TRUE,hello is posible upgrade kubernetes cluster in Centos 7 1.5 baremetal to 1.6???
181,NL,NL,,,,FALSE,"No, you're totally wrong."
182,Mixed,Mixed,,URL,,FALSE,"@U7MJLP5CL, you can see full list of supported annotations here: https://github.com/kubernetes/kubernetes/blob/v1.8.0/pkg/cloudprovider/providers/aws/aws.go#L83"
183,NL,NL,,,,FALSE,does anyone here has implemeted kubernetes federation already ?
184,NL,NL,,,,FALSE,either i am blind or i dont understand the concept of k8s I wrote a deployment.yaml that should consist two different containers that are not on the same pod. but both are started in the same pod. what am i getting wrong here?
185,NL,NL,,,,FALSE,fixed it
186,Mixed,Mixed,,Id,,FALSE,hello. am i able to use kubectl to get/edit ExternalAdmissionHookConfigurations?
187,Error,Log,,,,TRUE,Oct 26 20:19:43 test2-minion-8IcjE kubelet-wrapper[5596]: Error: failed to run Kubelet: could not init cloud provider aws: error finding instance i-0d01f6f07e33605e3: error listing AWS instances: \RequestError: send request failed\\ncaused by: Post https://ec2.us-east-1.amazonaws.com/: dial tcp: lookup ec2.us-east-1.amazonaws.com on [::1]:53: read udp [::1]:36716->[::1]:53: read: connection refused\
188,URL,,,,Looks like beginning of URL,TRUE,http:
189,NL,Mixed,,Id,,TRUE,"but svc will expose internal clusterIP, not ?"
190,NL,NL,,,,FALSE,"When i google it, the only solution people seem to provide is increasing ELB timeout. Even after increasing it, i see the above error. Any suggestions of how to connect to etcd with flannel? I am able to curl from the worker node without issues"
191,Code,,,,Id?,TRUE,kind: Config
192,NL,NL,,,,FALSE,Do anyone know is there a way to access cluster with token ( and a way to generate it ) instead of whole kubeconfig ?
193,NL,NL,,,,FALSE,gimme a sec
194,Code,,,,Id?,TRUE,kind: PersistentVolumeClaim
195,NL,NL,,,,FALSE,You must install a pod network add-on so that your pods can communicate with each other. could that be a cause?
196,NL,NL,,,,FALSE,i/o timeout
197,NL,NL,,,,FALSE,"Ahhh, good question. Let me see what I can find."
198,NL,NL,,,,FALSE,Self signed in my case
199,Log,Log,,,,FALSE,Oct 26 17:37:29 test178-minion-MTvrc kubelet-wrapper[1194]: I1026 17:37:29.243788 1194 tags.go:76] AWS cloud filtering on ClusterID: test178
200,NL,NL,,,,FALSE,Deployment looks at the Pod api object
201,Mixed,Mixed,,Id,,FALSE,"@U7Q1KJCG0 Does your manifest have the kind: PersistentVolume line uncommented, and without any dashes in front of it?"
202,NL,NL,,,,FALSE,They don't have the same ip
203,NL,NL,,,,FALSE,@U7LULHTJL you should take a look at GitlabCI as well. My experience has been very good so far.
204,NL,NL,,,,FALSE,let me restart all deamon and
205,NL,NL,,,,FALSE,kubernetes cluster
206,NL,NL,,,,FALSE,"gotchya, okay thanks for clarifying, that makes sense now."
207,NL,NL,,,,FALSE,does not list them
208,Mixed,Mixed,,IP?,,FALSE,"Guys, is there any reference about cron jobs schedule time? In the official documentation uses schedule: */1 * * * * and tells that it schedule the job each 1 min"
209,NL,NL,,,,FALSE,I decided to write this post after struggling to find documentation on how to write a Kubernetes operator that went through the code with...
210,NL,NL,,,,FALSE,but some of the docks on ingress only we can assign hostname for redirection backend paths
211,NL,Mixed,,Version,,TRUE,after 1.12.6 Docker also changed how nat rules are generated so you would guaranteed have trouble
212,Code,,,,,TRUE,name: wiki-config
213,NL,NL,,,,FALSE,yep!!
214,NL,NL,,,,FALSE,"a python flask app, nothing interesting"
215,NL,NL,,,,FALSE,"i *do* build the containers, but it doesn't really matter"
216,Other,,,,Log?,TRUE,root 1 0.0 0.6 200856 6480 ? Ssl 16:55 0:00 ./price-project
217,Error,Error,,,,FALSE,Error from server (AlreadyExists): error when creating cockroachdb1.yaml: statefulsets.apps cockroachdb already exists bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl get statefulset No resources found. bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl de
218,Code,,,,,TRUE,user root
219,NL,,,,,TRUE,@3molo
220,Code,,,,,TRUE,volumeMounts:
221,NL,NL,,,,FALSE,looks like to Google counterpart of AWS EBS
222,NL,NL,,,,FALSE,"if you just want to explore the filesystem you can also ssh to the node and dig up the actual mount... it's cumbersome, but possible."
223,NL,Mixed,,Id,,TRUE,PATH may not work unless you have a working shell!
224,Mixed,Mixed,,File,,FALSE,Hey @bo0m3r31337! That's right. So Installed kubectl inside the container and i found the secret token at /var/run/secrets/kubernetes.io/serviceaccount/token. But i'm not really sure where to go from there.
225,NL,NL,,,,FALSE,"unfortunately that doesn't seem to be the issue. Tried it with one, two and four extra spaces and got the same result"
226,Mixed,Error,Code,,,TRUE,bo0m3r31337smbp:cockroachDbKubes bo0m3r31337$ kubectl delete statefulset cockroachdb error: timed out waiting for cockroachdb to be synced
227,NL,,,,,TRUE,secrets
228,NL,NL,,,,FALSE,@mettjus yes I wanted to happen this automatically. I don't want to delete nor drain.
229,NL,NL,,,,FALSE,"hmm, shouldnt I delete this pod first? and try all over again?"
230,NL,NL,,,,FALSE,kibana must also have xpack if your ES cluster has that
231,NL,NL,,,,FALSE,well kpod ps said exactly no output for one
232,NL,NL,,,,FALSE,"well, i have a google app that i need to deploy and my environment is mixed with gce and gke structure, i have two php nodes that i use on the gce that needs to comunicate with couple of apps that i want to store on gke... in another words, i have php app on gce that want to acces reddis nodejs and elasticsearch on gke cluster. i need to expose local ip from the service that i use for the apps in kubernetes i can comunicate with the pods in kubernetes but that wil not solve my problem because what if i need to add another pod, so it means i want to comunicate with the service(loadBalancer) that comunicates with the pods of the exact app... some help please or some solution about that,"
233,Code,,,,,TRUE,command: [bash]
234,Code,,,,Id?,TRUE,Type: GCEPersistentDisk
235,NL,NL,,,,FALSE,Your service doesn't have to be any different
236,NL,NL,,,,FALSE,thanks!
237,NL,NL,,,,FALSE,i was also wondering what that is
238,Other,,,,,TRUE,rajbains wheel 340 Oct 26 15:25 common drwxrwxrwx 11 rajbains whe
239,NL,Mixed,,Id,,TRUE,"Absolutely, that's entirely what we will be using Roles and RoleBindings for, however, we still need some sort of cluster-admin type role that's limited to create/update/delete at the namespace level and setup those per-namespace Bindings. That's what I'm mainly interested in limiting, everything else makes sense."
240,NL,NL,,,,FALSE,thanks a lot for help!
241,Mixed,,Code,,Log?,TRUE,22h 4m 2 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 16; reason: cpu resource utilization (percentage of request) above target
242,NL,NL,,,,FALSE,"That is a big question.. look at the loadbalancer in services, but you need an ELB for that.."
243,Mixed,Mixed,,Command,,FALSE,anyone seen this before? (kubelets have --max-pods=X and --pod-cidr=)
244,NL,NL,,,,FALSE,@stephenenelson ok thankyou
245,Code,,,,,TRUE,app: pricelabel-app
246,NL,NL,,,,FALSE,"Yeah, so maybe DNS isn't exactly the issue, but your pod and the kubernetes service shouldn't have the same IP so there's something weird with your networking."
247,Mixed,NL,Error,,,TRUE,How to satisfy Ingress Certificate and Key requirements? Do I need to chain? I am getting error: failed to load key pair tls: private key does not match public key when doing:
248,NL,NL,,,,FALSE,"I still have kube-proxy stuck in Init, anyone an idea how to fix that?"
249,NL,NL,,,,FALSE,"this init my script in PID 1, but it doesn't work."
250,Mixed,NL,Code,,,TRUE,"that's a fine entrypoint if you're using kubectl run -it and want an interactive pod for a short bit, but it won't stay running (as you saw) and will immediately exit. You might be better doing the old classic sleep/wait thing to hold it there (what @mettjus suggests)"
251,Code,,,,,TRUE,- -c
252,URL,URL,,,,FALSE,http://bfy.tw/Ehui
253,NL,NL,,,,FALSE,yeah
254,NL,NL,,,,FALSE,aww.
255,#N/A,Mixed,,Id,,#N/A,"from my understanding defaul ttl for events is 1h (should be configurable on apiserver). that could be the reason for Events: <none>. maybe u could delete the statefulset and recreate it, then describe. not sure at all if that will help"
